Date,High,Low,Open,Close
2024-02-29 22:00:00,1.08069,1.07958,1.0804,1.08047
2024-02-29 23:00:00,1.08059,1.08023,1.08052,1.08056
2024-03-01 00:00:00,1.08125,1.08053,1.08056,1.08114
2024-03-01 01:00:00,1.08213,1.0811,1.08114,1.08212
2024-03-01 02:00:00,1.08218,1.08167,1.08212,1.08184
2024-03-01 03:00:00,1.08212,1.08165,1.08184,1.08169
2024-03-01 04:00:00,1.0817,1.08122,1.08169,1.08135
2024-03-01 05:00:00,1.08141,1.08112,1.08135,1.08121
2024-03-01 06:00:00,1.08139,1.0808200000000001,1.08121,1.08092
2024-03-01 07:00:00,1.08175,1.08086,1.08091,1.08125
2024-03-01 08:00:00,1.08199,1.0809,1.08125,1.08114
2024-03-01 09:00:00,1.08176,1.08086,1.08114,1.08155
2024-03-01 10:00:00,1.08226,1.07985,1.08156,1.08105
2024-03-01 11:00:00,1.08192,1.08103,1.08105,1.0818699999999999
2024-03-01 12:00:00,1.08246,1.08119,1.0818699999999999,1.08129
2024-03-01 13:00:00,1.08153,1.08077,1.08129,1.08128
2024-03-01 14:00:00,1.08205,1.07982,1.08128,1.07998
2024-03-01 15:00:00,1.08416,1.07998,1.07998,1.08351
2024-03-01 16:00:00,1.08368,1.08233,1.08351,1.0831
2024-03-01 17:00:00,1.08399,1.08288,1.0831,1.08376
2024-03-01 18:00:00,1.08424,1.08315,1.08376,1.08398
2024-03-01 19:00:00,1.08432,1.08382,1.08399,1.08413
2024-03-01 20:00:00,1.08413,1.08349,1.08413,1.08374
2024-03-01 21:00:00,1.08399,1.08333,1.08374,1.08397
2024-03-03 22:00:00,1.08426,1.08355,1.08361,1.08393
2024-03-03 23:00:00,1.08441,1.08393,1.08393,1.08416
2024-03-04 00:00:00,1.0848200000000001,1.08407,1.08416,1.08458
2024-03-04 01:00:00,1.08458,1.08386,1.08458,1.08402
2024-03-04 02:00:00,1.08458,1.08385,1.08402,1.08454
2024-03-04 03:00:00,1.08457,1.08423,1.08453,1.08439
2024-03-04 04:00:00,1.08457,1.08432,1.08439,1.08436
2024-03-04 05:00:00,1.08468,1.08428,1.08436,1.08443
2024-03-04 06:00:00,1.08478,1.0843099999999999,1.08443,1.08469
2024-03-04 07:00:00,1.0854,1.08452,1.08469,1.08536
2024-03-04 08:00:00,1.08579,1.08378,1.08537,1.08448
2024-03-04 09:00:00,1.08522,1.08422,1.08447,1.08491
2024-03-04 10:00:00,1.0855,1.08458,1.0849,1.08536
2024-03-04 11:00:00,1.08569,1.08517,1.08536,1.08561
2024-03-04 12:00:00,1.08575,1.08416,1.08561,1.08427
2024-03-04 13:00:00,1.085,1.08401,1.08427,1.08487
2024-03-04 14:00:00,1.08618,1.0845,1.08487,1.08598
2024-03-04 15:00:00,1.08636,1.08555,1.08598,1.08631
2024-03-04 16:00:00,1.08668,1.08568,1.08632,1.0861399999999999
2024-03-04 17:00:00,1.08623,1.08555,1.0861399999999999,1.08579
2024-03-04 18:00:00,1.08606,1.08558,1.08579,1.08564
